id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
521,1,0,1,0,0,0,0,0,0,0,1
522,0,0,1,1,0,0,0,0,0,0,0
523,0,0,1,0,0,0,0,0,0,0,0
524,1,0,0,1,0,0,0,1,1,0,0
525,0,0,1,1,0,0,0,0,1,0,0
526,0,0,0,1,0,1,0,0,1,0,0
527,0,0,1,1,0,0,0,0,1,0,0
528,0,0,0,1,1,1,0,1,1,0,0
529,0,0,0,1,1,1,0,0,1,0,0
530,0,0,1,1,0,0,0,0,0,0,0
531,0,0,1,0,0,0,0,0,0,0,0
532,0,0,1,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0,0
534,0,0,1,0,0,1,0,1,0,0,0
535,0,0,1,1,0,0,0,0,1,0,0
536,0,0,1,0,0,1,0,0,0,0,0
537,0,0,0,1,0,0,0,0,1,0,0
538,0,0,1,0,0,0,0,0,0,0,0
539,0,0,0,0,0,1,0,0,1,0,0
540,0,0,0,1,0,0,0,0,1,0,0
541,0,0,0,0,0,0,0,0,1,0,0
542,0,0,1,1,0,0,0,0,1,0,0
543,0,0,1,1,0,0,0,0,1,0,0
544,0,0,0,1,1,1,0,0,1,0,0
545,0,0,0,1,0,0,0,0,1,0,0
546,0,0,1,1,0,0,0,0,1,0,0
